Ticker,Date/Time,Open,High,Low,Close
VTC,7/31/2018,10.30,10.80,8.90,9.80
VTC,8/31/2018,9.80,9.80,8.00,8.40
VTC,9/28/2018,8.20,9.60,7.70,8.80
VTC,10/31/2018,8.80,9.50,8.20,8.80
VTC,11/30/2018,8.80,9.90,8.20,9.90
VTC,12/21/2018,9.00,9.50,9.00,9.00
VTG,12/31/2015,9.20,14.20,9.20,12.60
VTG,1/29/2016,12.00,13.00,11.00,13.00
VTG,2/29/2016,13.00,13.00,11.00,12.60
VTG,3/31/2016,12.40,17.50,12.40,17.50
VTG,4/29/2016,17.50,18.50,16.20,17.10
VTG,5/31/2016,17.10,18.00,16.50,17.00
VTG,11/30/2016,22.50,22.50,11.40,11.40
VTG,1/25/2017,11.40,12.00,11.40,11.90
VTG,3/31/2017,11.90,12.00,10.20,12.00
VTG,4/28/2017,12.50,14.10,12.00,14.10
VTG,5/31/2017,14.10,15.10,14.10,15.10
VTG,6/30/2017,12.90,18.00,12.90,13.10
VTG,7/31/2017,13.10,13.30,11.40,11.40
VTG,7/31/2018,13.00,13.00,7.30,7.40
VTG,9/28/2018,6.50,6.80,6.50,6.80
VTG,10/31/2018,6.80,7.80,6.80,7.80
VTK,12/21/2018,31.40,35.30,28.00,28.00
VTJ,12/31/2014,10.51,10.51,4.71,7.22
VTJ,1/30/2015,7.22,7.22,3.30,3.61
VTJ,2/27/2015,3.77,3.77,2.66,3.06
VTJ,3/31/2015,3.22,3.45,2.58,2.59
VTJ,4/27/2015,2.75,3.53,2.19,2.35
VTJ,5/29/2015,2.35,3.14,2.35,3.06
VTJ,6/30/2015,3.06,3.14,2.74,2.90
VTJ,7/31/2015,2.90,2.90,2.43,2.43
VTJ,8/31/2015,2.43,2.75,1.88,2.12
VTJ,9/30/2015,2.12,3.37,2.04,3.37
VTJ,10/30/2015,3.37,3.93,2.67,3.45
VTJ,11/30/2015,3.29,5.65,3.29,5.41
VTJ,12/31/2015,5.17,6.67,5.09,6.28
VTJ,1/29/2016,5.50,5.81,4.71,4.71
VTJ,2/29/2016,4.71,5.33,3.92,5.18
VTJ,3/31/2016,5.18,5.73,3.92,5.57
VTJ,4/29/2016,6.28,6.28,3.77,4.79
VTJ,5/31/2016,4.95,6.28,4.94,5.73
VTJ,6/30/2016,5.73,8.00,5.65,7.84
VTJ,7/29/2016,8.39,8.39,6.90,7.98
VTJ,8/31/2016,7.98,9.06,6.65,8.73
VTJ,9/30/2016,8.40,9.06,7.56,8.98
VTJ,10/31/2016,9.06,9.73,8.07,9.56
VTJ,11/30/2016,9.64,10.72,7.48,9.81
VTJ,12/30/2016,8.81,11.22,8.64,10.72
VTJ,1/25/2017,10.80,10.89,9.56,10.80
VTJ,2/28/2017,10.22,10.81,10.22,10.22
